symbol,pass,trades,wins,losses,net_pnl
PLUG,17,34,0,34,-61852.81020000014
PLUG,18,36,0,36,-65491.210800000146
PLUG,19,38,0,38,-69129.61140000015
PLUG,20,40,0,40,-72768.01200000016
PLUG,21,42,0,42,-76406.41260000017
PLUG,22,44,0,44,-80044.81320000018
PLUG,23,46,0,46,-83683.21380000019
PLUG,24,48,0,48,-87321.6144000002
PLUG,25,50,0,50,-90960.0150000002
PLUG,26,52,0,52,-94598.41560000021
PLUG,27,54,0,54,-98236.81620000022
PLUG,28,56,0,56,-101875.21680000023
PLUG,29,58,0,58,-105513.61740000024
PLUG,30,60,0,60,-109152.01800000024
PLUG,31,62,0,62,-112790.41860000025
PLUG,32,64,0,64,-116428.81920000026
PLUG,33,66,0,66,-120067.21980000027
PLUG,34,68,0,68,-123705.62040000028
PLUG,35,70,0,70,-127344.02100000028
PLUG,36,72,0,72,-130982.42160000029
PLUG,37,74,0,74,-134620.8222000003
PLUG,38,76,0,76,-138259.22280000028
PLUG,39,78,0,78,-141897.62340000027
PLUG,40,80,0,80,-145536.02400000027
PLUG,41,82,0,82,-149174.42460000026
PLUG,42,84,0,84,-152812.82520000025
PLUG,43,86,0,86,-156451.22580000025
PLUG,44,88,0,88,-160089.62640000024
PLUG,45,90,0,90,-163728.02700000023
PLUG,46,92,0,92,-167366.42760000023
PLUG,47,94,0,94,-171004.82820000022
PLUG,48,96,0,96,-174643.22880000022
PLUG,49,98,0,98,-178281.6294000002
PLUG,50,100,0,100,-181920.0300000002
SOFI,1,1,1,0,2651.324999999999
SOFI,2,2,2,0,5302.649999999998
SOFI,3,3,3,0,7953.974999999997
SOFI,4,4,4,0,10605.299999999996
SOFI,5,5,5,0,13256.624999999995
SOFI,6,6,6,0,15907.949999999993
SOFI,7,7,7,0,18559.274999999994
SOFI,8,8,8,0,21210.59999999999
SOFI,9,9,9,0,23861.92499999999
SOFI,10,10,10,0,26513.249999999985
SOFI,11,11,11,0,29164.574999999983
SOFI,12,12,12,0,31815.89999999998
SOFI,13,13,13,0,34467.22499999998
SOFI,14,14,14,0,37118.549999999974
SOFI,15,15,15,0,39769.87499999997
SOFI,16,16,16,0,42421.19999999997
SOFI,17,17,17,0,45072.524999999965
SOFI,18,18,18,0,47723.84999999996
SOFI,19,19,19,0,50375.17499999996
SOFI,20,20,20,0,53026.499999999956
SOFI,21,21,21,0,55677.82499999995
SOFI,22,22,22,0,58329.14999999995
SOFI,23,23,23,0,60980.47499999995
SOFI,24,24,24,0,63631.799999999945
SOFI,25,25,25,0,66283.12499999994
SOFI,26,26,26,0,68934.44999999994
SOFI,27,27,27,0,71585.77499999994
SOFI,28,28,28,0,74237.09999999993
SOFI,29,29,29,0,76888.42499999993
SOFI,30,30,30,0,79539.74999999993
SOFI,31,31,31,0,82191.07499999992
SOFI,32,32,32,0,84842.39999999992
SOFI,33,33,33,0,87493.72499999992
SOFI,34,34,34,0,90145.04999999992
SOFI,35,35,35,0,92796.37499999991
SOFI,36,36,36,0,95447.69999999991
SOFI,37,37,37,0,98099.0249999999
SOFI,38,38,38,0,100750.3499999999
SOFI,39,39,39,0,103401.6749999999
SOFI,40,40,40,0,106052.9999999999
SOFI,41,41,41,0,108704.3249999999
SOFI,42,42,42,0,111355.64999999989
SOFI,43,43,43,0,114006.97499999989
SOFI,44,44,44,0,116658.29999999989
SOFI,45,45,45,0,119309.62499999988
SOFI,46,46,46,0,121960.94999999988
SOFI,47,47,47,0,124612.27499999988
SOFI,48,48,48,0,127263.59999999987
SOFI,49,49,49,0,129914.92499999987
SOFI,50,50,50,0,132566.24999999988
T,1,2,0,2,-1304.4400000000026
T,2,4,0,4,-2608.880000000005
T,3,6,0,6,-3913.320000000008
T,4,8,0,8,-5217.76000000001
T,5,10,0,10,-6522.200000000013
T,6,12,0,12,-7826.640000000015
T,7,14,0,14,-9131.080000000018
T,8,16,0,16,-10435.52000000002
T,9,18,0,18,-11739.960000000023
T,10,20,0,20,-13044.400000000025
T,11,22,0,22,-14348.840000000027
T,12,24,0,24,-15653.28000000003
T,13,26,0,26,-16957.720000000034
T,14,28,0,28,-18262.16000000004
T,15,30,0,30,-19566.600000000042
T,16,32,0,32,-20871.040000000045
T,17,34,0,34,-22175.480000000047
T,18,36,0,36,-23479.92000000005
T,19,38,0,38,-24784.36000000005
T,20,40,0,40,-26088.800000000054
T,21,42,0,42,-27393.240000000056
T,22,44,0,44,-28697.68000000006
T,23,46,0,46,-30002.12000000006
T,24,48,0,48,-31306.560000000063
T,25,50,0,50,-32611.000000000065
T,26,52,0,52,-33915.44000000007
T,27,54,0,54,-35219.88000000007
T,28,56,0,56,-36524.32000000007
T,29,58,0,58,-37828.760000000075
T,30,60,0,60,-39133.20000000008
T,31,62,0,62,-40437.64000000008
T,32,64,0,64,-41742.08000000008
T,33,66,0,66,-43046.520000000084
T,34,68,0,68,-44350.96000000009
T,35,70,0,70,-45655.40000000009
T,36,72,0,72,-46959.84000000009
T,37,74,0,74,-48264.28000000009
T,38,76,0,76,-49568.720000000096
T,39,78,0,78,-50873.1600000001
T,40,80,0,80,-52177.6000000001
T,41,82,0,82,-53482.0400000001
T,42,84,0,84,-54786.480000000105
T,43,86,0,86,-56090.92000000011
T,44,88,0,88,-57395.36000000011
T,45,90,0,90,-58699.80000000011
T,46,92,0,92,-60004.240000000114
T,47,94,0,94,-61308.68000000012
T,48,96,0,96,-62613.12000000012
T,49,98,0,98,-63917.56000000012
T,50,100,0,100,-65222.000000000124
