time,symbol,equity,pass
2025-04-17T00:00:00-04:00,BAC,-68213.86000000003,27
2025-04-17T00:00:00-04:00,BAC,-70837.47000000003,28
2025-04-17T00:00:00-04:00,BAC,-73461.08000000003,29
2025-04-17T00:00:00-04:00,BAC,-76084.69000000003,30
2025-04-17T00:00:00-04:00,BAC,-78708.30000000003,31
2025-04-17T00:00:00-04:00,BAC,-81331.91000000003,32
2025-04-17T00:00:00-04:00,BAC,-83955.52000000003,33
2025-04-17T00:00:00-04:00,BAC,-86579.13000000003,34
2025-04-17T00:00:00-04:00,BAC,-89202.74000000003,35
2025-04-17T00:00:00-04:00,BAC,-91826.35000000003,36
2025-04-17T00:00:00-04:00,BAC,-94449.96000000004,37
2025-04-17T00:00:00-04:00,BAC,-97073.57000000004,38
2025-04-17T00:00:00-04:00,BAC,-99697.18000000004,39
2025-04-17T00:00:00-04:00,BAC,-102320.79000000004,40
2025-04-17T00:00:00-04:00,BAC,-104944.40000000004,41
2025-04-17T00:00:00-04:00,BAC,-107568.01000000004,42
2025-04-17T00:00:00-04:00,BAC,-110191.62000000004,43
2025-04-17T00:00:00-04:00,BAC,-112815.23000000004,44
2025-04-17T00:00:00-04:00,BAC,-115438.84000000004,45
2025-04-17T00:00:00-04:00,BAC,-118062.45000000004,46
2025-04-17T00:00:00-04:00,BAC,-120686.06000000004,47
2025-04-17T00:00:00-04:00,BAC,-123309.67000000004,48
2025-04-17T00:00:00-04:00,BAC,-125933.28000000004,49
2025-04-17T00:00:00-04:00,BAC,-128556.89000000004,50
2025-04-17T00:00:00-04:00,CCL,0.0,1
2025-04-17T00:00:00-04:00,CCL,5992.769999999993,2
2025-04-17T00:00:00-04:00,CCL,11985.539999999986,3
2025-04-17T00:00:00-04:00,CCL,17978.30999999998,4
2025-04-17T00:00:00-04:00,CCL,23971.079999999973,5
2025-04-17T00:00:00-04:00,CCL,29963.849999999966,6
2025-04-17T00:00:00-04:00,CCL,35956.61999999996,7
2025-04-17T00:00:00-04:00,CCL,41949.38999999995,8
2025-04-17T00:00:00-04:00,CCL,47942.15999999994,9
2025-04-17T00:00:00-04:00,CCL,53934.92999999993,10
2025-04-17T00:00:00-04:00,CCL,59927.69999999992,11
2025-04-17T00:00:00-04:00,CCL,65920.46999999991,12
2025-04-17T00:00:00-04:00,CCL,71913.23999999992,13
2025-04-17T00:00:00-04:00,CCL,77906.00999999992,14
2025-04-17T00:00:00-04:00,CCL,83898.77999999993,15
2025-04-17T00:00:00-04:00,CCL,89891.54999999993,16
2025-04-17T00:00:00-04:00,CCL,95884.31999999993,17
2025-04-17T00:00:00-04:00,CCL,101877.08999999994,18
2025-04-17T00:00:00-04:00,CCL,107869.85999999994,19
2025-04-17T00:00:00-04:00,CCL,113862.62999999995,20
2025-04-17T00:00:00-04:00,CCL,119855.39999999995,21
2025-04-17T00:00:00-04:00,CCL,125848.16999999995,22
2025-04-17T00:00:00-04:00,CCL,131840.93999999994,23
2025-04-17T00:00:00-04:00,CCL,137833.70999999993,24
2025-04-17T00:00:00-04:00,CCL,143826.47999999992,25
2025-04-17T00:00:00-04:00,CCL,149819.2499999999,26
2025-04-17T00:00:00-04:00,CCL,155812.0199999999,27
2025-04-17T00:00:00-04:00,CCL,161804.7899999999,28
2025-04-17T00:00:00-04:00,CCL,167797.55999999988,29
2025-04-17T00:00:00-04:00,CCL,173790.32999999987,30
2025-04-17T00:00:00-04:00,CCL,179783.09999999986,31
2025-04-17T00:00:00-04:00,CCL,185775.86999999985,32
2025-04-17T00:00:00-04:00,CCL,191768.63999999984,33
2025-04-17T00:00:00-04:00,CCL,197761.40999999983,34
2025-04-17T00:00:00-04:00,CCL,203754.17999999982,35
2025-04-17T00:00:00-04:00,CCL,209746.9499999998,36
2025-04-17T00:00:00-04:00,CCL,215739.7199999998,37
2025-04-17T00:00:00-04:00,CCL,221732.4899999998,38
2025-04-17T00:00:00-04:00,CCL,227725.25999999978,39
2025-04-17T00:00:00-04:00,CCL,233718.02999999977,40
2025-04-17T00:00:00-04:00,CCL,239710.79999999976,41
2025-04-17T00:00:00-04:00,CCL,245703.56999999975,42
2025-04-17T00:00:00-04:00,CCL,251696.33999999973,43
2025-04-17T00:00:00-04:00,CCL,257689.10999999972,44
2025-04-17T00:00:00-04:00,CCL,263681.8799999997,45
2025-04-17T00:00:00-04:00,CCL,269674.64999999973,46
2025-04-17T00:00:00-04:00,CCL,275667.41999999975,47
2025-04-17T00:00:00-04:00,CCL,281660.18999999977,48
2025-04-17T00:00:00-04:00,CCL,287652.9599999998,49
2025-04-17T00:00:00-04:00,CCL,293645.7299999998,50
2025-04-17T00:00:00-04:00,F,0.0,1
2025-04-17T00:00:00-04:00,F,6421.410000000007,2
2025-04-17T00:00:00-04:00,F,12842.820000000014,3
2025-04-17T00:00:00-04:00,F,19264.23000000002,4
2025-04-17T00:00:00-04:00,F,25685.64000000003,5
2025-04-17T00:00:00-04:00,F,32107.050000000036,6
2025-04-17T00:00:00-04:00,F,38528.46000000004,7
2025-04-17T00:00:00-04:00,F,44949.870000000046,8
2025-04-17T00:00:00-04:00,F,51371.28000000005,9
2025-04-17T00:00:00-04:00,F,57792.69000000005,10
2025-04-17T00:00:00-04:00,F,64214.10000000006,11
2025-04-17T00:00:00-04:00,F,70635.51000000007,12
2025-04-17T00:00:00-04:00,F,77056.92000000009,13
2025-04-17T00:00:00-04:00,F,83478.3300000001,14
2025-04-17T00:00:00-04:00,F,89899.74000000012,15
2025-04-17T00:00:00-04:00,F,96321.15000000014,16
2025-04-17T00:00:00-04:00,F,102742.56000000016,17
2025-04-17T00:00:00-04:00,F,109163.97000000018,18
2025-04-17T00:00:00-04:00,F,115585.3800000002,19
2025-04-17T00:00:00-04:00,F,122006.79000000021,20
2025-04-17T00:00:00-04:00,F,128428.20000000023,21
2025-04-17T00:00:00-04:00,F,134849.61000000022,22
2025-04-17T00:00:00-04:00,F,141271.02000000022,23
2025-04-17T00:00:00-04:00,F,147692.43000000023,24
